,"(mm) Precipitation (PRISM MONTHLY), Arizona ,Aug 1895 to Dec 1895","(deg C) Mean Temperature (PRISM MONTHLY), Arizona ,Aug 1895 to Dec 1895"
"2021-08-01",53.2156,26.2656
"2021-09-01",32.6957,23.7625
"2021-10-01",19.6738,15.3995
"2021-11-01",1.3681,13.1121
"2021-12-01",43.0702,7.4695
"2022-01-01",10.8511,6.2229
"2022-02-01",10.2072,6.4155
"2022-03-01",15.1954,10.6729
"2022-04-01",0.5243,15.6907
"2022-05-01",0.0024,20.0281
"2022-06-01",18.9492,25.6298
"2022-07-01",58.0459,27.7787
"2022-08-01",81.397,25.7597
"2022-09-01",35.7077,24.2048
"2022-10-01",31.7666,16.5172
"2022-11-01",11.236,7.7561
"2022-12-01",37.5613,5.978
"2023-01-01",61.9268,4.5758
"2023-02-01",28.1071,5.2224
"2023-03-01",53.0249,8.2659
"2023-04-01",0.4828,14.152
"2023-05-01",9.4146,19.1664
"2023-06-01",1.3007,22.1858
"2023-07-01",11.7305,29.6169
"2023-08-01",42.1689,26.9737
"2023-09-01",24.4341,23.1379
"2023-10-01",4.1862,18.1289
"2023-11-01",11.5418,11.4156
"2023-12-01",22.7186,7.3759
"2024-01-01",31.4687,5.2923
"2024-02-01",45.3783,8.0518
"2024-03-01",38.7673,9.6931
"2024-04-01",17.2553,13.9937
"2024-05-01",1.0673,18.7153
"2024-06-01",14.1536,26.6819
"2024-07-01",29.9602,29.1313
"2024-08-01",39.9488,27.3745
"2024-09-01",6.076,24.5068
"2024-10-01",10.6639,20.1541
"2024-11-01",7.5196,8.9336
"2024-12-01",0.0888,8.712
