,"(mm) Precipitation (PRISM MONTHLY), California ,Aug 1895 to Dec 1895","(deg C) Mean Temperature (PRISM MONTHLY), California ,Aug 1895 to Dec 1895"
"2021-08-01",1.7516,24.5952
"2021-09-01",10.0151,21.893
"2021-10-01",108.182,14.3908
"2021-11-01",28.2484,12.51
"2021-12-01",170.3639,6.5535
"2022-01-01",13.4507,7.9931
"2022-02-01",5.3279,8.4556
"2022-03-01",25.6363,11.2768
"2022-04-01",48.792,12.603
"2022-05-01",10.5283,15.8335
"2022-06-01",11.9028,21.3823
"2022-07-01",3.4205,24.6718
"2022-08-01",9.4759,25.1813
"2022-09-01",22.2309,22.9018
"2022-10-01",3.4622,17.8078
"2022-11-01",52.298,8.0793
"2022-12-01",169.5844,6.034
"2023-01-01",231.8493,5.8768
"2023-02-01",85.6218,5.7154
"2023-03-01",206.8135,6.3178
"2023-04-01",15.3623,12.0594
"2023-05-01",24.1026,16.0917
"2023-06-01",10.0263,18.5148
"2023-07-01",0.335,25.4625
"2023-08-01",36.116,23.9422
"2023-09-01",14.8457,19.6987
"2023-10-01",13.1924,16.3024
"2023-11-01",35.046,10.9713
"2023-12-01",88.8258,8.822
"2024-01-01",114.8994,7.2964
"2024-02-01",170.6259,7.6292
"2024-03-01",118.6962,8.8249
"2024-04-01",34.398,12.2605
"2024-05-01",18.6358,16.1641
"2024-06-01",1.7393,22.2139
"2024-07-01",2.3095,26.6481
"2024-08-01",6.9161,23.7172
"2024-09-01",3.3091,21.9401
"2024-10-01",9.8771,18.5103
"2024-11-01",123.3099,8.849
"2024-12-01",105.4157,9.0159
