,"(mm) Precipitation (PRISM MONTHLY), Colorado ,Aug 1895 to Dec 1895","(deg C) Mean Temperature (PRISM MONTHLY), Colorado ,Aug 1895 to Dec 1895"
"2021-08-01",41.077,19.4099
"2021-09-01",30.1636,16.7546
"2021-10-01",30.1889,8.4923
"2021-11-01",10.3947,4.4731
"2021-12-01",42.6683,-0.0808
"2022-01-01",25.2024,-3.3794
"2022-02-01",23.3967,-4.3633
"2022-03-01",38.549,1.1583
"2022-04-01",19.8032,5.9517
"2022-05-01",42.6972,11.2241
"2022-06-01",36.0788,17.5093
"2022-07-01",77.3278,21.0214
"2022-08-01",52.2848,19.6476
"2022-09-01",28.9501,16.7895
"2022-10-01",32.8786,8.3862
"2022-11-01",22.5403,-0.7398
"2022-12-01",38.2051,-4.1899
"2023-01-01",52.2747,-4.6649
"2023-02-01",26.8532,-4.4469
"2023-03-01",49.1357,-1.3561
"2023-04-01",36.1537,4.5449
"2023-05-01",72.9955,12.1197
"2023-06-01",80.3489,15.2059
"2023-07-01",46.9362,20.4499
"2023-08-01",58.1288,19.5917
"2023-09-01",28.5517,15.7074
"2023-10-01",26.6589,8.8769
"2023-11-01",15.0895,2.5734
"2023-12-01",27.4964,-1.2183
"2024-01-01",30.0618,-4.43
"2024-02-01",43.2149,-0.2883
"2024-03-01",51.1283,1.8857
"2024-04-01",37.6936,6.9052
"2024-05-01",44.275,10.0989
"2024-06-01",42.9658,18.88
"2024-07-01",44.7285,19.9306
"2024-08-01",69.9021,19.7671
"2024-09-01",26.5859,16.3505
"2024-10-01",38.2606,11.5826
"2024-11-01",63.445,0.3576
"2024-12-01",12.6772,-0.0198
