Year,Month,Price
2025,FEB,159
2025,JAN,161
2025,MAR,167
2024,APR,195
2024,AUG,175
2024,DEC,164
2024,FEB,201
2024,JAN,202
2024,JUL,183
2024,JUN,195
2024,MAR,196
2024,MAY,202
2024,NOV,165
2024,OCT,173
2024,SEP,172
2023,APR,288
2023,AUG,230
2023,DEC,206
2023,FEB,264
2023,JAN,263
2023,JUL,246
2023,JUN,264
2023,MAR,266
2023,MAY,278
2023,NOV,209
2023,OCT,219
2023,SEP,225
2022,APR,257
2022,AUG,276
2022,DEC,268
2022,FEB,220
2022,JAN,215
2022,JUL,278
2022,JUN,263
2022,MAR,228
2022,MAY,268
2022,NOV,267
2022,OCT,281
2022,SEP,280
2021,APR,185
2021,AUG,210
2021,DEC,217
2021,FEB,171
2021,JAN,168
2021,JUL,206
2021,JUN,207
2021,MAR,177
2021,MAY,207
2021,NOV,213
2021,OCT,219
2021,SEP,214
2020,APR,180
2020,AUG,171
2020,DEC,166
2020,FEB,168
2020,JAN,169
2020,JUL,172
2020,JUN,178
2020,MAR,172
2020,MAY,179
2020,NOV,164
2020,OCT,169
2020,SEP,168
2019,APR,198
2019,AUG,179
2019,DEC,172
2019,FEB,180
2019,JAN,179
2019,JUL,183
2019,JUN,192
2019,MAR,186
2019,MAY,201
2019,NOV,169
2019,OCT,177
2019,SEP,179
2018,APR,183
2018,AUG,177
2018,DEC,179
2018,FEB,155
2018,JAN,153
2018,JUL,179
2018,JUN,182
2018,MAR,165
2018,MAY,189
2018,NOV,173
2018,OCT,176
2018,SEP,179
2017,APR,150
2017,AUG,148
2017,DEC,149
2017,FEB,127
2017,JAN,126
2017,JUL,153
2017,JUN,154
2017,MAR,134
2017,MAY,156
2017,NOV,150
2017,OCT,152
2017,SEP,149
2016,APR,154
2016,AUG,137
2016,DEC,127
2016,FEB,137
2016,JAN,141
2016,JUL,138
2016,JUN,140
2016,MAR,139
2016,MAY,146
2016,NOV,130
2016,OCT,135
2016,SEP,136
2015,APR,175
2015,AUG,161
2015,DEC,149
2015,FEB,167
2015,JAN,170
2015,JUL,172
2015,JUN,178
2015,MAR,169
2015,MAY,187
2015,NOV,147
2015,OCT,155
2015,SEP,160
2014,APR,207
2014,AUG,207
2014,DEC,180
2014,FEB,190
2014,JAN,186
2014,JUL,217
2014,JUN,224
2014,MAR,193
2014,MAY,227
2014,NOV,182
2014,OCT,193
2014,SEP,197
2013,APR,213
2013,AUG,199
2013,DEC,186
2013,FEB,218
2013,JAN,217
2013,JUL,206
2013,JUN,218
2013,MAR,219
2013,MAY,219
2013,NOV,188
2013,OCT,193
2013,SEP,194
2012,APR,210
2012,AUG,203
2012,DEC,217
2012,FEB,194
2012,JAN,193
2012,JUL,203
2012,JUN,205
2012,MAR,200
2012,MAY,215
2012,NOV,215
2012,OCT,212
2012,SEP,206
2011,APR,161
2011,AUG,196
2011,DEC,195
2011,FEB,129
2011,JAN,121
2011,JUL,198
2011,JUN,185
2011,MAR,142
2011,MAY,191
2011,NOV,193
2011,OCT,204
2011,SEP,198
2010,APR,112
2010,AUG,118
2010,DEC,121
2010,FEB,110
2010,JAN,111
2010,JUL,118
2010,JUN,120
2010,MAR,113
2010,MAY,120
2010,NOV,117
2010,OCT,118
2010,SEP,119
2009,APR,132
2009,AUG,109
2009,DEC,109
2009,FEB,141
2009,JAN,148
2009,JUL,116
2009,JUN,122
2009,MAR,138
2009,MAY,133
2009,NOV,109
2009,OCT,109
2009,SEP,109
2008,APR,146
2008,AUG,179
2008,DEC,152
2008,FEB,138
2008,JAN,136
2008,JUL,179
2008,JUN,174
2008,MAR,144
2008,MAY,177
2008,NOV,165
2008,OCT,171
2008,SEP,175
2007,APR,127
2007,AUG,135
2007,DEC,135
2007,FEB,115
2007,JAN,112
2007,JUL,136
2007,JUN,137
2007,MAR,121
2007,MAY,142
2007,NOV,136
2007,OCT,136
2007,SEP,135
2006,APR,108
2006,AUG,109
2006,DEC,111
2006,FEB,98.4
2006,JAN,95.1
2006,JUL,111
2006,JUN,112
2006,MAR,100
2006,MAY,114
2006,NOV,110
2006,OCT,113
2006,SEP,111
2005,APR,105
2005,AUG,108
2005,DEC,96.6
2005,FEB,94
2005,JAN,94.5
2005,JUL,105
2005,JUN,106
2005,MAR,98.6
2005,MAY,114
2005,NOV,97.6
2005,OCT,105
2005,SEP,106
2004,APR,92.7
2004,AUG,99.3
2004,DEC,92.1
2004,FEB,85.1
2004,JAN,84.8
2004,JUL,98.7
2004,JUN,102
2004,MAR,86.2
2004,MAY,108
2004,NOV,95.2
2004,OCT,100
2004,SEP,97.5
2003,APR,96.2
2003,AUG,91.9
2003,DEC,87
2003,FEB,96.2
2003,JAN,98.5
2003,JUL,93.8
2003,JUN,101
2003,MAR,96.7
2003,MAY,101
2003,NOV,86.8
2003,OCT,89.1
2003,SEP,90.1
2002,APR,103
2002,AUG,101
2002,DEC,98
2002,FEB,100
2002,JAN,101
2002,JUL,100
2002,JUN,101
2002,MAR,99.6
2002,MAY,108
2002,NOV,101
2002,OCT,102
2002,SEP,101
2001,APR,105
2001,AUG,105
2001,DEC,105
2001,FEB,92.9
2001,JAN,91
2001,JUL,104
2001,JUN,104
2001,MAR,95
2001,MAY,109
2001,NOV,104
2001,OCT,106
2001,SEP,108
2000,APR,81.9
2000,AUG,84.7
2000,DEC,89.7
2000,FEB,77
2000,JAN,76
2000,JUL,83.3
2000,JUN,85.1
2000,MAR,77.7
2000,MAY,87.9
2000,NOV,88
2000,OCT,89.2
2000,SEP,86
1999,APR,86.4
1999,AUG,84.9
1999,DEC,74.1
1999,FEB,83.7
1999,JAN,81.4
1999,JUL,83.4
1999,JUN,82.8
1999,MAR,83.2
1999,MAY,91
1999,NOV,77
1999,OCT,79.4
1999,SEP,79.8
1998,APR,105
1998,AUG,90.2
1998,DEC,79.7
1998,FEB,105
1998,JAN,102
1998,JUL,92.1
1998,JUN,95
1998,MAR,102
1998,MAY,102
1998,NOV,84.4
1998,OCT,86.9
1998,SEP,87.1
1997,APR,123
1997,AUG,105
1997,DEC,102
1997,FEB,113
1997,JAN,104
1997,JUL,107
1997,JUN,114
1997,MAR,116
1997,MAY,125.3
1997,NOV,107
1997,OCT,106
1997,SEP,106
1996,APR,101
1996,AUG,97.9
1996,DEC,97
1996,FEB,84.6
1996,JAN,84.6
1996,JUL,96.5
1996,JUN,98.5
1996,MAR,85.5
1996,MAY,105.3
1996,NOV,97
1996,OCT,95.8
1996,SEP,96.6
1995,APR,89.4
1995,AUG,87.4
1995,DEC,84.6
1995,FEB,89
1995,JAN,89
1995,JUL,88.2
1995,JUN,89.5
1995,MAR,89
1995,MAY,94.8
1995,NOV,85
1995,OCT,85.8
1995,SEP,85.4
1994,APR,100
1994,AUG,89.9
