Program,Year,Period,Week Ending,State,Data Item,Value,CV (%)
CENSUS,2022,YEAR,,ALABAMA,"HAY, ALFALFA - ACRES HARVESTED","19,964",9.2
CENSUS,2022,YEAR,,ALABAMA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","42,583",9.9
CENSUS,2022,YEAR,,ALASKA,"HAY, ALFALFA - ACRES HARVESTED",210,(L)
CENSUS,2022,YEAR,,ALASKA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS",157,(L)
CENSUS,2022,YEAR,,ARIZONA,"HAY, ALFALFA - ACRES HARVESTED","304,623",14.7
CENSUS,2022,YEAR,,ARIZONA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","2,240,787",12.4
CENSUS,2022,YEAR,,ARKANSAS,"HAY, ALFALFA - ACRES HARVESTED","1,180",22.2
CENSUS,2022,YEAR,,ARKANSAS,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","4,867",14.3
CENSUS,2022,YEAR,,CALIFORNIA,"HAY, ALFALFA - ACRES HARVESTED","903,692",21.8
CENSUS,2022,YEAR,,CALIFORNIA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","5,679,847",21.7
CENSUS,2022,YEAR,,COLORADO,"HAY, ALFALFA - ACRES HARVESTED","635,129",10.2
CENSUS,2022,YEAR,,COLORADO,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","1,819,267",8.4
CENSUS,2022,YEAR,,CONNECTICUT,"HAY, ALFALFA - ACRES HARVESTED","8,240",10
CENSUS,2022,YEAR,,CONNECTICUT,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","12,820",9.2
CENSUS,2022,YEAR,,DELAWARE,"HAY, ALFALFA - ACRES HARVESTED","1,619",14.5
CENSUS,2022,YEAR,,DELAWARE,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","3,935",12.6
CENSUS,2022,YEAR,,FLORIDA,"HAY, ALFALFA - ACRES HARVESTED","13,288",14.7
CENSUS,2022,YEAR,,FLORIDA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","37,772",21.9
CENSUS,2022,YEAR,,GEORGIA,"HAY, ALFALFA - ACRES HARVESTED","22,948",15.5
CENSUS,2022,YEAR,,GEORGIA,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","43,936",13.3
CENSUS,2022,YEAR,,HAWAII,"HAY, ALFALFA - ACRES HARVESTED", (D),(D)
CENSUS,2022,YEAR,,HAWAII,"HAY, ALFALFA - PRODUCTION, MEASURED IN TONS", (D),(D)
