month,cornprice
20-Jan,3.86
20-Feb,3.77
20-Mar,3.6
20-Apr,3.21
20-May,3.19
20-Jun,3.28
20-Jul,3.32
20-Aug,3.25
20-Sep,3.62
20-Oct,3.99
20-Nov,4.16
20-Dec,4.35
21-Jan,5.15
21-Feb,5.5
21-Mar,5.53
21-Apr,6.16
21-May,6.97
21-Jun,6.72
21-Jul,6.05
21-Aug,5.52
21-Sep,5.19
21-Oct,5.37
21-Nov,5.71
21-Dec,5.92
22-Jan,6.09
22-Feb,6.5
22-Mar,7.47
22-Apr,7.86
22-May,7.89
22-Jun,7.58
22-Jul,6.63
22-Aug,6.32
22-Sep,6.82
22-Oct,6.86
22-Nov,6.68
22-Dec,6.51
23-Jan,6.7
23-Feb,6.71
23-Mar,6.37
23-Apr,6.54
23-May,6.09
23-Jun,6.15
23-Jul,5.49
23-Aug,4.76
23-Sep,4.74
23-Oct,4.88
23-Nov,4.68
23-Dec,4.69
24-Jan,4.52
24-Feb,4.23
24-Mar,4.3
24-Apr,4.35
24-May,4.55
24-Jun,4.39
24-Jul,3.98
24-Aug,3.77
24-Sep,4.01
24-Oct,4.16
24-Nov,4.24
24-Dec,4.28
25-Jan,4.6
25-Feb,4.9
25-Mar,4.56
25-Apr,
25-May,
25-Jun,
25-Jul,
25-Aug,
25-Sep,
25-Oct,
25-Nov,
25-Dec,
26-Jan,
26-Feb,
26-Mar,
26-Apr,
26-May,
26-Jun,
26-Jul,
26-Aug,
26-Sep,
26-Oct,
26-Nov,
26-Dec,
27-Jan,
27-Feb,
27-Mar,
27-Apr,
27-May,
27-Jun,
27-Jul,
27-Aug,
27-Sep,
27-Oct,
27-Nov,
27-Dec,
28-Jan,
