Name,MapDate,DSCI
Arizona,20210727,354
Arizona,20210803,324
Arizona,20210810,323
Arizona,20210817,292
Arizona,20210824,268
Arizona,20210831,268
Arizona,20210907,241
Arizona,20210914,241
Arizona,20210921,241
Arizona,20210928,234
Arizona,20211005,234
Arizona,20211012,220
Arizona,20211019,220
Arizona,20211026,220
Arizona,20211102,220
Arizona,20211109,220
Arizona,20211116,220
Arizona,20211123,220
Arizona,20211130,220
Arizona,20211207,220
Arizona,20211214,220
Arizona,20211221,220
Arizona,20211228,192
Arizona,20220104,187
Arizona,20220111,188
Arizona,20220118,188
Arizona,20220125,188
Arizona,20220201,188
Arizona,20220208,188
Arizona,20220215,188
Arizona,20220222,188
Arizona,20220301,211
Arizona,20220308,211
Arizona,20220315,211
Arizona,20220322,211
Arizona,20220329,211
Arizona,20220405,252
Arizona,20220412,252
Arizona,20220419,252
Arizona,20220426,267
Arizona,20220503,271
Arizona,20220510,278
Arizona,20220517,290
Arizona,20220524,306
Arizona,20220531,306
Arizona,20220607,306
Arizona,20220614,306
Arizona,20220621,306
Arizona,20220628,299
Arizona,20220705,297
Arizona,20220712,295
Arizona,20220719,295
Arizona,20220726,272
Arizona,20220802,265
Arizona,20220809,257
Arizona,20220816,222
Arizona,20220823,205
Arizona,20220830,193
Arizona,20220906,191
Arizona,20220913,189
Arizona,20220920,187
Arizona,20220927,175
Arizona,20221004,175
Arizona,20221011,175
Arizona,20221018,160
Arizona,20221025,160
Arizona,20221101,160
Arizona,20221108,160
Arizona,20221115,160
Arizona,20221122,160
Arizona,20221129,157
Arizona,20221206,144
Arizona,20221213,134
Arizona,20221220,134
Arizona,20221227,134
Arizona,20230103,134
Arizona,20230110,105
Arizona,20230117,80
Arizona,20230124,80
Arizona,20230131,80
Arizona,20230207,80
Arizona,20230214,59
Arizona,20230221,59
Arizona,20230228,47
Arizona,20230307,46
Arizona,20230314,38
Arizona,20230321,33
Arizona,20230328,27
Arizona,20230404,26
Arizona,20230411,20
Arizona,20230418,19
Arizona,20230425,19
Arizona,20230502,19
Arizona,20230509,19
Arizona,20230516,19
Arizona,20230523,19
Arizona,20230530,19
Arizona,20230606,19
Arizona,20230613,19
Arizona,20230620,18
Arizona,20230627,18
Arizona,20230704,18
Arizona,20230711,17
Arizona,20230718,32
Arizona,20230725,64
Arizona,20230801,64
Arizona,20230808,114
Arizona,20230815,114
Arizona,20230822,129
Arizona,20230829,129
Arizona,20230905,156
Arizona,20230912,156
Arizona,20230919,161
Arizona,20230926,167
Arizona,20231003,177
Arizona,20231010,182
Arizona,20231017,182
Arizona,20231024,186
Arizona,20231031,186
Arizona,20231107,190
Arizona,20231114,190
Arizona,20231121,190
Arizona,20231128,190
Arizona,20231205,190
Arizona,20231212,190
Arizona,20231219,190
Arizona,20231226,182
Arizona,20240102,187
Arizona,20240109,197
Arizona,20240116,200
Arizona,20240123,198
Arizona,20240130,184
Arizona,20240206,173
Arizona,20240213,167
Arizona,20240220,155
Arizona,20240227,155
Arizona,20240305,154
Arizona,20240312,154
Arizona,20240319,140
Arizona,20240326,140
Arizona,20240402,120
Arizona,20240409,120
Arizona,20240416,120
Arizona,20240423,103
Arizona,20240430,103
Arizona,20240507,103
Arizona,20240514,103
Arizona,20240521,95
Arizona,20240528,95
Arizona,20240604,95
Arizona,20240611,94
Arizona,20240618,94
Arizona,20240625,91
Arizona,20240702,88
Arizona,20240709,87
Arizona,20240716,87
Arizona,20240723,87
Arizona,20240730,87
Arizona,20240806,106
Arizona,20240813,106
Arizona,20240820,105
Arizona,20240827,105
Arizona,20240903,116
Arizona,20240910,117
Arizona,20240917,117
Arizona,20240924,117
Arizona,20241001,117
Arizona,20241008,148
Arizona,20241015,168
Arizona,20241022,165
Arizona,20241029,165
Arizona,20241105,165
Arizona,20241112,179
Arizona,20241119,179
Arizona,20241126,195
Arizona,20241203,196
Arizona,20241210,196
Arizona,20241217,196
Arizona,20241224,196
Arizona,20241231,231
California,20210727,430
California,20210803,430
California,20210810,431
California,20210817,433
California,20210824,431
California,20210831,431
California,20210907,428
California,20210914,428
California,20210921,427
California,20210928,427
California,20211005,427
California,20211012,427
California,20211019,427
California,20211026,416
California,20211102,416
California,20211109,410
California,20211116,410
California,20211123,401
California,20211130,401
