month,feeder price
Nov-89,83.00
Dec-89,83.76
Jan-90,84.04
Feb-90,81.63
Mar-90,82.21
Apr-90,83.54
May-90,84.25
Jun-90,84.91
Jul-90,86.81
Aug-90,89.20
Sep-90,88.36
Oct-90,87.43
Nov-90,87.83
Dec-90,88.74
Jan-91,89.15
Feb-91,88.75
Mar-91,90.13
Apr-91,89.95
May-91,88.71
Jun-91,88.08
Jul-91,89.13
Aug-91,85.77
Sep-91,85.59
Oct-91,85.64
Nov-91,83.59
Dec-91,79.13
Jan-92,80.04
Feb-92,79.10
Mar-92,79.85
Apr-92,79.33
May-92,78.25
Jun-92,77.60
Jul-92,81.87
Aug-92,85.18
Sep-92,84.11
Oct-92,84.03
Nov-92,84.04
Dec-92,85.45
Jan-93,87.77
Feb-93,84.73
Mar-93,85.56
Apr-93,85.59
May-93,86.08
Jun-93,87.22
Jul-93,86.83
Aug-93,87.95
Sep-93,86.84
Oct-93,85.14
Nov-93,83.72
Dec-93,82.62
Jan-94,83.39
Feb-94,81.37
Mar-94,81.68
Apr-94,80.34
May-94,75.41
Jun-94,73.06
Jul-94,78.14
Aug-94,78.23
Sep-94,73.68
Oct-94,72.68
Nov-94,74.27
Dec-94,74.77
Jan-95,75.83
Feb-95,71.71
Mar-95,68.36
Apr-95,65.97
May-95,64.47
Jun-95,65.94
Jul-95,66.55
Aug-95,66.35
Sep-95,65.14
Oct-95,65.33
Nov-95,65.02
Dec-95,63.78
Jan-96,59.37
Feb-96,57.94
Mar-96,56.71
Apr-96,52.43
May-96,55.61
Jun-96,59.96
Jul-96,61.73
Aug-96,63.30
Sep-96,63.77
Oct-96,63.11
Nov-96,65.11
Dec-96,66.57
Jan-97,68.87
Feb-97,68.23
Mar-97,68.38
Apr-97,71.47
May-97,75.79
Jun-97,77.93
Jul-97,81.57
Aug-97,80.45
Sep-97,79.71
Oct-97,77.34
Nov-97,78.11
Dec-97,77.94
Jan-98,77.45
Feb-98,76.09
Mar-98,75.40
Apr-98,76.35
May-98,75.64
Jun-98,73.73
Jul-98,70.51
Aug-98,68.58
Sep-98,67.80
Oct-98,69.80
Nov-98,70.17
Dec-98,68.77
Jan-99,72.62
Feb-99,73.90
Mar-99,72.17
Apr-99,71.96
May-99,71.17
Jun-99,76.88
Jul-99,76.28
Aug-99,77.19
Sep-99,79.17
Oct-99,80.37
Nov-99,82.58
Dec-99,84.60
Jan-00,85.78
Feb-00,83.65
Mar-00,83.78
Apr-00,84.28
May-00,83.45
Jun-00,85.90
Jul-00,87.32
Aug-00,86.22
Sep-00,85.43
Oct-00,87.13
Nov-00,88.72
Dec-00,90.92
Jan-01,88.88
Feb-01,86.66
Mar-01,86.34
Apr-01,87.63
May-01,88.35
Jun-01,91.74
Jul-01,90.11
Aug-01,89.61
Sep-01,89.86
Oct-01,87.77
Nov-01,84.51
Dec-01,84.12
Jan-02,83.84
Feb-02,82.80
Mar-02,80.48
Apr-02,75.54
May-02,75.74
Jun-02,76.43
Jul-02,77.10
Aug-02,78.41
Sep-02,80.41
Oct-02,81.08
Nov-02,83.31
Dec-02,83.79
Jan-03,81.57
Feb-03,76.69
Mar-03,76.15
Apr-03,78.97
May-03,81.44
Jun-03,85.09
Jul-03,88.64
Aug-03,93.45
Sep-03,99.69
Oct-03,104.62
Nov-03,101.73
Dec-03,94.19
Jan-04,87.09
Feb-04,84.15
Mar-04,89.23
Apr-04,93.20
May-04,103.50
Jun-04,109.47
Jul-04,112.12
Aug-04,115.60
Sep-04,113.15
Oct-04,113.20
Nov-04,105.46
Dec-04,102.68
Jan-05,104.51
Feb-05,98.04
Mar-05,105.00
Apr-05,109.78
May-05,111.09
Jun-05,109.99
Jul-05,108.77
Aug-05,110.28
Sep-05,114.41
Oct-05,117.10
Nov-05,115.55
Dec-05,114.94
Jan-06,112.76
Feb-06,107.93
Mar-06,104.22
Apr-06,101.45
May-06,103.21
Jun-06,112.26
Jul-06,114.67
Aug-06,115.96
Sep-06,117.03
Oct-06,108.35
Nov-06,99.06
Dec-06,98.65
Jan-07,96.28
Feb-07,99.36
Mar-07,104.83
Apr-07,108.71
May-07,109.17
Jun-07,108.65
Jul-07,114.99
Aug-07,116.32
Sep-07,117.08
Oct-07,112.43
Nov-07,108.98
Dec-07,105.01
Jan-08,99.47
Feb-08,104.95
Mar-08,100.46
Apr-08,101.16
