year,month,Arizona,California,Colorado,Idaho,New Mexico,Oregon,Utah,Washington,Montana
2021,8,53.2156,1.7516,41.077,35.2922,66.1604,6.8024,49.9886,17.0692,54.1052
2021,9,32.6957,10.0151,30.1636,21.0697,28.8546,49.3585,21.8929,79.5984,11.3879
2021,10,19.6738,108.182,30.1889,78.1071,20.7091,86.19,62.9509,145.9889,40.1225
2021,11,1.3681,28.2484,10.3947,58.7098,2.6418,109.5756,6.8174,246.4328,26.2001
2021,12,43.0702,170.3639,42.6683,106.295,12.282,152.9122,59.8311,177.2879,44.963
2022,1,10.8511,13.4507,25.2024,59.9003,12.1155,88.6687,12.5364,176.3823,24.2864
2022,2,10.2072,5.3279,23.3967,20.6072,8.3283,32.677,14.0206,64.2222,19.8238
2022,3,15.1954,25.6363,38.549,43.8934,13.891,65.4398,25.077,117.3523,28.5161
2022,4,0.5243,48.792,19.8032,61.3043,1.7456,106.5999,17.4636,110.3811,53.317
2022,5,0.0024,10.5283,42.6972,89.5949,4.094,109.1248,18.165,106.5694,63.8267
2022,6,18.9492,11.9028,36.0788,55.5972,68.5804,69.6136,11.7469,91.369,77.9915
2022,7,58.0459,3.4205,77.3278,6.5872,66.0854,5.9597,23.5915,14.9725,51.4412
2022,8,81.397,9.4759,52.2848,17.3323,92.5907,7.7486,42.6407,5.1124,24.244
2022,9,35.7077,22.2309,28.9501,25.2436,31.3853,13.9127,32.7975,10.2526,24.0077
2022,10,31.7666,3.4622,32.8786,32.0242,63.5947,35.9568,28.4869,68.1395,46.1477
2022,11,11.236,52.298,22.5403,74.7186,9.0735,107.2938,35.8665,154.1675,35.2626
2022,12,37.5613,169.5844,38.2051,104.3891,17.2713,156.9528,45.5043,194.1188,42.2893
2023,1,61.9268,231.8493,52.2747,50.5564,21.352,79.0391,83.3816,115.2934,20.2934
2023,2,28.1071,85.6218,26.8532,41.3214,14.4093,59.8571,30.7471,90.1221,27.5515
2023,3,53.0249,206.8135,49.1357,93.5171,20.5054,127.8705,80.7985,85.6568,34.1973
2023,4,0.4828,15.3623,36.1537,51.6203,3.3907,97.1112,20.0855,118.9095,33.2058
2023,5,9.4146,24.1026,72.9955,53.5518,38.6234,43.126,20.349,30.4817,75.5193
2023,6,1.3007,10.0263,80.3489,57.7421,28.2735,26.4347,20.4812,23.9712,110.8077
2023,7,11.7305,0.335,46.9362,4.4686,24.6256,1.2446,8.517,9.2948,23.8325
2023,8,42.1689,36.116,58.1288,54.623,42.6279,22.6249,49.4927,19.8547,46.191
2023,9,24.4341,14.8457,28.5517,32.9406,33.816,40.1324,30.9878,57.9359,44.6827
2023,10,4.1862,13.1924,26.6589,41.9104,17.1642,57.6214,21.8213,67.7555,46.2135
2023,11,11.5418,35.046,15.0895,53.215,13.2946,87.4921,22.3723,136.0724,22.8555
2023,12,22.7186,88.8258,27.4964,60.3818,27.7478,151.4094,16.009,197.5108,17.8889
2024,1,31.4687,114.8994,30.0618,72.0189,19.2764,191.5178,37.1989,186.5318,23.9618
2024,2,45.3783,170.6259,43.2149,77.5541,20.15,104.0602,54.4515,107.9004,37.5387
2024,3,38.7673,118.6962,51.1283,77.1182,23.4627,109.2189,50.826,103.2299,31.699
2024,4,17.2553,34.398,37.6936,48.1756,9.7742,53.1291,26.2201,62.1982,36.8517
2024,5,1.0673,18.6358,44.275,45.6146,15.7602,60.7712,18.7014,57.3931,91.1361
2024,6,14.1536,1.7393,42.9658,31.4827,47.1537,26.0117,13.8618,54.739,51.4877
2024,7,29.9602,2.3095,44.7285,11.8719,59.5131,3.7319,9.397,9.8443,25.2604
2024,8,39.9488,6.9161,69.9021,15.3247,51.6827,17.0025,46.3803,36.361,45.1041
2024,9,6.076,3.3091,26.5859,29.731,24.5972,19.6542,7.0366,24.4696,45.7775
