year,month,Arizona,California,Colorado,Idaho,New Mexico,Oregon,Utah,Washington,Montana
2021,8,26.2656,24.5952,19.4099,17.9048,22.1399,19.1729,21.2644,18.9243,18.3195
2021,9,23.7625,21.893,16.7546,13.9969,20.2077,15.1285,17.9465,14.3475,14.7631
2021,10,15.3995,14.3908,8.4923,7.3026,12.9601,8.9662,8.5542,8.3161,7.7586
2021,11,13.1121,12.51,4.4731,2.5422,8.7346,5.4286,5.5005,4.6157,2.3323
2021,12,7.4695,6.5535,-0.0808,-2.8637,5.5243,0.7365,-0.5894,-1.0543,-6.6577
2022,1,6.2229,7.9931,-3.3794,-4.7463,1.9541,1.2659,-1.9536,-0.1399,-5.1146
2022,2,6.4155,8.4556,-4.3633,-4.4971,1.4982,1.6912,-1.9887,0.9444,-5.6185
2022,3,10.6729,11.2768,1.1583,2.0405,6.7048,5.4135,3.8618,5.2422,0.6696
2022,4,15.6907,12.603,5.9517,2.4033,12.7238,4.3976,7.3723,4.6348,1.399
2022,5,20.0281,15.8335,11.2241,7.0631,18.0002,8.1408,11.7972,8.5524,8.708
2022,6,25.6298,21.3823,17.5093,13.4411,22.3384,14.1388,19.1136,14.0804,14.4161
2022,7,27.7787,24.6718,21.0214,20.6518,24.5211,20.5774,23.9496,19.7745,20.4139
2022,8,25.7597,25.1813,19.6476,20.8795,22.1702,21.4975,22.1327,21.0182,21.0296
2022,9,24.2048,22.9018,16.7895,16.276,20.0693,17.1246,19.2673,16.6547,16.1612
2022,10,16.5172,17.8078,8.3862,8.8011,12.1766,12.1527,10.3339,12.5346,8.4519
2022,11,7.7561,8.0793,-0.7398,-3.5674,4.4855,0.4572,-0.3017,0.2448,-5.1012
2022,12,5.978,6.034,-4.1899,-5.7426,2.6757,-1.3112,-2.7493,-3.1089,-9.9588
2023,1,4.5758,5.8768,-4.6649,-4.7886,1.9639,0.0709,-3.1746,0.8308,-4.9028
2023,2,5.2224,5.7154,-4.4469,-5.1928,2.5412,-0.0291,-3.8942,0.0301,-5.2452
2023,3,8.2659,6.3178,-1.3561,-3.0157,6.4731,0.3928,-0.4474,2.373,-5.4489
2023,4,14.152,12.0594,4.5449,2.8433,10.7273,5.5502,5.918,5.7898,3.2554
2023,5,19.1664,16.0917,12.1197,12.1752,16.5481,12.8335,13.8914,14.506,13.2581
2023,6,22.1858,18.5148,15.2059,13.6187,20.6024,14.7167,16.6559,15.5416,15.5151
2023,7,29.6169,25.4625,20.4499,20.2277,25.6437,20.4408,23.9634,19.6139,19.5063
2023,8,26.9737,23.9422,19.5917,19.0837,23.7271,20.0136,21.5163,19.8537,19.4219
2023,9,23.1379,19.6987,15.7074,13.7988,20.3764,14.4926,16.916,14.5856,14.8698
2023,10,18.1289,16.3024,8.8769,7.7671,14.1242,9.8772,10.3717,9.6181,5.8328
2023,11,11.4156,10.9713,2.5734,1.1587,7.3711,4.2785,3.4232,3.1327,1.3927
2023,12,7.3759,8.822,-1.2183,-1.5823,3.5331,2.8401,-0.1452,2.3061,-0.463
2024,1,5.2923,7.2964,-4.43,-3.981,1.1928,0.9916,-1.3796,-1.1997,-8.0544
2024,2,8.0518,7.6292,-0.2883,-0.9765,5.3165,2.7086,1.0059,2.5265,-2.3001
2024,3,9.6931,8.8249,1.8857,0.7231,7.1714,3.847,3.4656,4.6667,-0.8869
2024,4,13.9937,12.2605,6.9052,5.3829,11.5145,6.7694,8.3689,7.1092,6.0401
2024,5,18.7153,16.1641,10.0989,7.6021,16.5009,9.421,11.1321,10.3081,8.7987
2024,6,26.6819,22.2139,18.88,14.9778,23.448,15.3189,21.0177,14.1185,14.4134
2024,7,29.1313,26.6481,19.9306,20.6456,23.5428,21.2824,23.824,20.5234,20.6385
2024,8,27.3745,23.7172,19.7671,18.6325,24.0278,18.5766,22.209,18.5618,18.7325
2024,9,24.5068,21.9401,16.3505,15.5925,19.6444,16.5442,18.4587,16.6753,16.3946
